SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
11,Kentucky,SEC,31,18,106,94.9,0.792,52.7,45,23.7,19.7,32.9,33.8,41.1,42.4,51.5,43.1,36.9,32.6,64.3,-1.1,R64,2008
NA,VCU,CAA,32,24,102,91.6,0.786,49.6,42.1,20.5,22.9,34.6,32.9,40.1,38,46.4,42.9,37.6,26.9,65.4,-0.3,NA,2008
NA,Houston,CUSA,34,24,112,100,0.782,49.8,49.1,15.4,22.7,31.7,33.4,33.5,38.8,45.7,48.2,36.1,33.8,71,-1.7,NA,2008
NA,Dayton,A10,34,23,109,97.9,0.778,52.7,50.6,20.6,20.2,35.3,27.9,42.3,33.1,51.1,48.6,37.5,35.5,63.6,-0.7,NA,2008
NA,Tulsa,CUSA,39,25,105,94.9,0.773,50.4,46,22.8,18.1,36.4,29.5,38,31.5,49,44.6,35.3,32.8,66.1,-3.9,NA,2008
NA,Creighton,MVC,32,22,106,95.6,0.773,51.6,48,21.2,22.8,32.5,31.7,33.3,36.7,49.8,45.2,36.2,35.6,67.9,-0.3,NA,2008
10,South Alabama,SB,31,26,110,99.5,0.768,53.9,48.4,20.6,20.4,37.9,30.5,46,31,53.3,47.3,36.8,33.5,66.7,-0.3,R64,2008
NA,Utah,MWC,32,18,109,98.4,0.767,53.8,47.8,19.6,18.1,26.9,25,31.1,40.4,51.4,44.8,38.8,35.7,64.3,-4.2,NA,2008
NA,Alabama,SEC,33,17,109,99.1,0.76,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,50,48.3,36.3,35.5,68.6,-4.5,NA,2008
NA,Rhode Island,A10,33,21,113,102,0.758,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,51.2,47.5,38,35.3,71.9,-2.3,NA,2008
NA,Bradley,MVC,38,21,111,100,0.757,52.3,50.8,20.2,21.7,31.2,33.4,36.4,37.8,49.3,49.2,37.4,36,70.4,-4.8,NA,2008
NA,Akron,MAC,35,24,108,98.5,0.754,51.9,49.8,19.5,24.8,33.9,34.4,39.3,36.7,47.9,50.2,38.6,32.6,65.1,-2.9,NA,2008
NA,IUPUI,Sum,30,26,114,103,0.753,57,50.2,18.1,21.4,33.5,34.6,36.7,33.8,54.1,49.5,41.8,34.1,62.7,-1.5,NA,2008
13,Oral Roberts,Sum,32,24,102,92.8,0.749,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,65.7,-0.9,R64,2008
NA,Duquesne,A10,30,17,107,97.5,0.748,51.7,48.1,21.4,24.3,37.1,37.1,39.6,35.9,54.2,45.4,31.6,36,76.1,-4.8,NA,2008
NA,Missouri St.,MVC,32,17,107,97.6,0.747,50.7,49.6,22.3,22.6,35.2,32.5,34.8,35.2,48.6,46.6,36.6,36.5,66.9,-5.9,NA,2008
NA,Virginia,ACC,33,17,110,100,0.744,50.3,52,19.4,18.8,36.1,28.6,35.3,33.2,47.6,50.1,36.6,36.7,70,-3.4,NA,2008
NA,Providence,BE,31,15,108,99.2,0.744,51.5,50.3,21.1,22,36.6,36.4,32.3,37.1,48.9,49.4,37.6,34.7,67.7,-3,NA,2008
12,George Mason,CAA,34,23,108,98.7,0.738,52.3,47.5,18.7,18.4,32,27.9,39.8,27,52.4,46.4,34.7,33.2,63.7,-3.6,R64,2008
NA,Miami OH,MAC,33,17,106,97.1,0.736,51.5,48.6,20,20.3,31.1,33.2,30.9,30.9,50.6,48,35.6,33.2,59.7,-4.2,NA,2008
NA,Texas Tech,B12,30,16,105,96.3,0.735,50.2,51,19.9,21.8,26.3,33,47.6,34.8,48.4,48.8,36.7,36.8,70,-2.2,NA,2008
NA,Charlotte,A10,34,20,102,93.9,0.733,47.1,49,20.6,24.3,33.3,32.9,41.7,41.2,44,47.4,34.4,34.2,68.8,-2.6,NA,2008
14,Georgia,SEC,33,17,103,94.7,0.728,47.8,48.1,21.8,19,37.2,31.6,32.1,33.6,47.1,49.1,32.9,30.9,66.6,-3.9,R64,2008
NA,New Mexico St.,WAC,34,21,106,98.5,0.715,52.4,49.6,21.9,21.6,41.2,29.4,39,33.2,52.5,46.7,34.8,36.3,71.4,-5.5,NA,2008
NA,San Diego St.,MWC,32,20,102,95,0.714,49.1,50.5,20.9,23.1,32.8,28,36.6,33,48.9,49.3,33,35.2,66.1,-2.9,NA,2008
NA,Western Michigan,MAC,32,20,105,97.6,0.706,49.7,46.7,22,19.4,36.1,29.4,47.6,41.5,47,45.3,36.1,32.9,66,-4.6,NA,2008
NA,South Carolina,SEC,32,14,107,100,0.705,50.4,51.1,15.5,21.9,30.7,37.3,22.6,27.5,48.1,50.9,36.4,34.4,67.1,-6.3,NA,2008
NA,UCF,CUSA,31,16,107,99.9,0.701,51.7,48.2,20.3,21.7,34.1,33.4,37.2,42.2,50.2,46.8,36.3,33.6,66.8,-6.6,NA,2008
NA,Boston College,ACC,31,14,107,99.9,0.701,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,49.6,48.5,36,34.6,66.1,-4.7,NA,2008
13,Siena,MAAC,34,23,106,99.2,0.7,50.5,51.8,15.5,23.9,31.4,36.5,36.3,25.4,48.1,49.5,37.4,37.6,69.2,-3.8,R32,2008
NA,LSU,SEC,30,13,103,96.8,0.693,48.3,47.8,20.3,19.5,32,35.7,29.3,28,48.4,46.1,32.2,34.3,67.8,-7.1,NA,2008
NA,Southern Miss,CUSA,29,18,106,99.6,0.689,47.5,49.9,19.4,19.2,36.1,28.1,48.6,43.2,47.3,49.2,32.1,34.3,65.4,-4.7,NA,2008
14,Cal St. Fullerton,BW,32,23,109,101,0.687,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37,74.1,-3.2,R64,2008
NA,North Carolina St.,ACC,31,15,106,99.6,0.686,51.1,47.3,22.5,16,30.3,35.4,47.4,26.6,50.8,44.6,34.6,36.3,64.7,-3,NA,2008
NA,Ohio,MAC,33,20,106,99.7,0.681,51.9,51.5,21.6,22,35,30.8,39.6,34.4,51.4,50.1,35.2,35.5,65.3,-4,NA,2008
NA,UTEP,CUSA,33,19,104,97.6,0.679,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49,48.5,47.3,33,35.4,73.2,-3.6,NA,2008
NA,DePaul,BE,30,11,111,104,0.675,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,47.4,49.5,35.8,40.8,67.9,-6.5,NA,2008
NA,Cincinnati,BE,32,13,102,96.7,0.673,47.1,49.2,21.2,18.1,35.3,29.1,32.8,46.1,45.9,48.5,32.8,33.7,65.5,-5,NA,2008
NA,Cleveland St.,Horz,32,21,100,94.5,0.67,47.6,47.7,21.2,21.7,34.2,30.7,39.1,43.3,48.3,47.5,30.4,32.1,66.9,-3.6,NA,2008
NA,South Florida,BE,31,12,105,99.3,0.668,48.8,48.7,20.2,18.4,35.9,33.8,43,33.9,48.5,46.8,33,35.2,65.6,-7.9,NA,2008
NA,Nevada,WAC,32,21,106,100,0.664,53,47.5,20,17.4,32.7,32.4,36.9,32.1,52.4,44.9,36.3,36,68.9,-3.8,NA,2008
NA,UNC Greensboro,SC,31,19,106,100,0.662,52.6,50.1,21.4,22.3,35.1,35.2,40.1,24.3,51.9,48,35.8,36.1,66.3,-4.5,NA,2008
NA,Seton Hall,BE,32,17,108,102,0.661,48,51.1,16.9,21.4,33.7,38.4,36.7,39.3,46.6,48.8,33.8,37,71.2,-3.7,NA,2008
13,Winthrop,BSth,32,22,96.3,90.9,0.66,49.6,46.6,19.8,23.3,33.2,29.2,35.6,33.6,46.7,46.7,37.2,31,63.5,-4.2,R64,2008
13,San Diego,WCC,35,22,100,94.4,0.66,49.4,49,21.4,22.7,32.1,30.5,35.7,33.7,48.8,48.3,33.9,33.7,65.3,-3.9,R32,2008
NA,Stephen F. Austin,Slnd,28,26,104,99,0.66,51.1,45.1,19.1,21.7,32.7,31.1,40.6,34.3,48.1,44.1,38,31.8,59.9,-1.4,NA,2008
NA,Iowa St.,B12,31,14,99.8,94.3,0.659,46.8,47.2,20.2,18.1,28.2,31.6,33.5,27.8,47,44.3,31.1,36,65.8,-5.2,NA,2008
NA,Colorado,B12,31,12,103,97.7,0.659,50.7,49.8,21.3,20.3,26.6,33.5,35,33.6,50.5,48.1,34,35.5,62.7,-7,NA,2008
NA,Illinois Chicago,Horz,32,18,103,97.5,0.655,50.3,48.2,19.9,20,31.3,30.8,32.6,26.7,46.5,46,38.5,34.6,67.5,-6.5,NA,2008
NA,Wright St.,Horz,31,21,102,96.7,0.652,51.9,48.2,20.5,20,30,30.5,35.2,29.6,48.4,45.2,38.8,35.1,61.2,-3,NA,2008
NA,Old Dominion,CAA,34,18,105,100,0.648,48.3,47.8,20.1,21.6,38.1,34.3,27.2,30.3,47.3,45.6,33.5,34.6,64.5,-6.5,NA,2008
NA,Northern Iowa,MVC,31,18,104,99.7,0.632,50,47,19.8,16.8,25.3,28.2,43.6,30.3,49.6,42.4,33.9,36.4,61,-4.8,NA,2008
